county,maternity_access_flag,high_need_mvi_tertile,source,source_url
Abbeville,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Laurens,low_access_ob_closed_2023,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Lee,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Marion,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Marlboro,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
McCormick,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Newberry,low_access,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Saluda,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Union,desert_or_low,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Williamsburg,desert_or_low,True,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Kershaw,low_access_ob_closed_2025,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Georgetown,low_access_ob_closed_2020,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
Charleston,full_access_but_ob_closed_2020_mtpleasant,False,March of Dimes Maternity Care Deserts SC (2023/2024); USC IFS MCH Data Snapshot (2024); SCBOI Annual Report,https://www.marchofdimes.org/peristats/reports/south-carolina/maternity-care-deserts
