indicator,value,unit,year,geography,source_name,source_url,table_or_page
lbw_black_white_ratio_periStats,2.9,ratio,2021-2023 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=4&stop=75,Black 18.9% vs White 6.6%
very_low_birthweight_pct,1.0,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-29
very_low_birthweight_count,48,count,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-29
infant_mortality_rate_per_1000,4.3,rate,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-3
infant_deaths,14,count,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-3
infant_mortality_rate_3yr,5.2,rate,2021-2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-3
infant_deaths_3yr,53,count,2021-2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-3
infant_mortality_rate_periStats,6.2,rate,2023,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=6&stop=91,Linked birth-infant death
infant_deaths_periStats,30,count,2023,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=6&stop=91,Linked birth-infant death
infant_mortality_pct_change_2013_2023,48,percent_change,2013-2023,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=6&stop=91,Trend
infant_mortality_black_per_1000,13.7,rate,2021-2023 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=5&stop=105,By race
infant_mortality_white_per_1000,5.3,rate,2021-2023 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=5&stop=105,By race
infant_mortality_hispanic_per_1000,4.7,rate,2021-2023 avg,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=5&stop=105,By race
neonatal_mortality_rate_per_1000,2.5,rate,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-4
neonatal_deaths,8,count,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-4
neonatal_mortality_rate_3yr,4.2,rate,2021-2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-4
neonatal_mortality_white_2023,7.4,rate,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-4A White
neonatal_mortality_black_2023,2.5,rate,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-4A Black
postneonatal_mortality_rate_2023,1.9,rate,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table F-5
prenatal_care_adequate_plus_pct,80.0,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=5&stop=105,Kotelchuck adequate+
prenatal_care_inadequate_pct,14.5,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=5&stop=105,Kotelchuck inadequate
prenatal_care_late_or_none_pct,6.2,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=5&stop=105,Timing
kotelchuck_inadequate_pct_white,16.9,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-11A White
kotelchuck_inadequate_pct_black,36.6,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-11A Black (293/801)
kotelchuck_adequate_plus_pct_white,44.2,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-11A White (510/1154)
kotelchuck_adequate_plus_pct_black,23.6,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-11A Black (189/801)
medicaid_births_pct_all,50.3,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-35 pay source
private_insurance_births_pct,23.9,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-35
self_pay_births_pct,22.6,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-35
medicaid_births_pct_white,26.9,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-35A White
medicaid_births_pct_black,70.3,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-35A Black
wic_during_pregnancy_pct,34.6,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-34
wic_during_pregnancy_count,1678,count,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-34
medicaid_mothers_at_birth_pct_sc,43.1,percent,2024,South Carolina,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State indicator
unmarried_births_pct_all,35.5,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-21
unmarried_births_pct_white,14.1,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-21
unmarried_births_pct_black,73.1,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-21
teen_births_under_20_pct,10.7,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-19
teen_births_under_20_count,522,count,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-19
maternal_obesity_bmi_pct_white,39.0,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-36 White
maternal_obesity_bmi_pct_black,39.0,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-36 Black
maternal_obesity_bmi_pct_all,15.1,percent,2023,Charleston County,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-36 (438/2901 NH White births in table)
cesarean_delivery_pct,31.9,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=8&stop=130,Delivery method
multiple_birth_pct,3.2,percent,2024,Charleston County,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/data?creg=45019&top=7&stop=120,Multiples
births_occurred_in_county,7521,count,2023,Charleston County (occurrence),SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-13/C-14
births_in_hospital_pct_occurrence,93.7,percent,2023,Charleston occurrence,SC DPH VMS,https://dph.sc.gov/sites/scdph/files/2025-11/VMS-2023.pdf,Table C-14 (7049/7521)
child_poverty_pct,9.67,percent,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,Child poverty
uninsured_adults_pct,14.2,percent,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,Uninsured
pm25_ug_m3,8.4,concentration,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,Air quality
severe_housing_problems_pct,34.2,percent,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,Housing
food_environment_index,7.1,index,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,Food environment (higher=better)
life_expectancy_years,77.9,years,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,Life expectancy
premature_death_rate_per_100k,254.6,rate,2025,Charleston County,County Health Rankings,https://www.countyhealthrankings.org/health-data/south-carolina/charleston,YPLL
preterm_birth_pct,11.6,percent,2024,South Carolina,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State preterm
infant_mortality_rate_per_1000,7.0,rate,2023,South Carolina,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State infant mortality
lbw_pct,9.7,percent,2024,South Carolina,March of Dimes PeriStats,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State LBW
adequate_prenatal_care_pct,79.4,percent,2024,South Carolina,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State PNC
maternal_mortality_per_100k,31.5,rate,2024,South Carolina,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State MM
severe_maternal_morbidity_per_10k,85.9,rate,2024,South Carolina,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State SMM
low_risk_cesarean_pct,25.6,percent,2024,South Carolina,March of Dimes Report Card,https://www.marchofdimes.org/peristats/reports/south-carolina/report-card,State C-section
preterm_birth_target_pct,9.4,percent,2030,US target,Healthy People 2030,https://health.gov/healthypeople/objectives-and-data/browse-objectives/pregnancy-and-childbirth,MICH-07
infant_mortality_target_per_1000,5.0,rate,2030,US target,Healthy People 2030,https://health.gov/healthypeople/objectives-and-data/browse-objectives/pregnancy-and-childbirth,MICH-01
adequate_prenatal_care_target_pct,80.5,percent,2030,US target,Healthy People 2030,https://health.gov/healthypeople/objectives-and-data/browse-objectives/pregnancy-and-childbirth,MICH-08
low_risk_cesarean_target_pct,23.6,percent,2030,US target,Healthy People 2030,https://health.gov/healthypeople/objectives-and-data/browse-objectives/pregnancy-and-childbirth,MICH-06
pregnancy_related_mortality_rate_2023,29.5,rate_per_100k,2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Lowest since surveillance began
pregnancy_related_mortality_rate_2021,47.2,rate_per_100k,2021,South Carolina,SCMMMRC 2025 Legislative Brief,https://www.scstatehouse.gov/reports/DeptofPublicHealth/SCMMMRC%20Legislative%20Report%202025.pdf,PRMR
pregnancy_related_mortality_nhb_2018_2023_avg,59.6,rate_per_100k,2018-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Non-Hispanic Black
pregnancy_related_mortality_nhw_2018_2023_avg,25.3,rate_per_100k,2018-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Non-Hispanic White
pregnancy_related_mortality_hispanic_2018_2023_avg,24.0,rate_per_100k,2018-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Hispanic
pregnancy_related_mortality_black_white_ratio_2023,2.0,ratio,2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,NHB still 2x NHW in 2023
pregnancy_related_mortality_rural_2022_2023,48.1,rate_per_100k,2022-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Rural counties
pregnancy_related_mortality_urban_2022_2023,28.7,rate_per_100k,2022-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Urban counties
pregnancy_related_mortality_medicaid_2023,37.8,rate_per_100k,2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Medicaid payer; down from 51.0 in 2022 after 12-mo extension
pregnancy_related_deaths_preventable_pct_2022_2023,88.2,percent,2022-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,Overall preventability
pregnancy_related_deaths_preventable_pct_nhb,88.9,percent,2018-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,vs 78.6% NHW
pregnancy_related_deaths_mh_sud_preventable_pct,100.0,percent,2022-2023,South Carolina,SCMMMRC 2026 Legislative Brief,https://dph.sc.gov/sites/scdph/files/Library/00229-ENG-CR.pdf,"Mental health/SUD, hypertension, hemorrhage all 100% preventable"
sc_national_maternal_mortality_rank,8,rank,2023,South Carolina,SC DPH Pregnancy & Postpartum Health page,https://dph.sc.gov/health-wellness/family-planning/pregnancy/pregnancy-and-postpartum-health,8th highest in US
maternity_care_desert_pct_counties,13.0,percent,2024,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,13.0% of SC counties vs 32.6% US
counties_no_birth_hospital_pct,45.7,percent,2024,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,No hospital/birth center offering maternity care
births_in_maternity_care_deserts_pct,2.6,percent,2022,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,"1,493 babies born in deserts"
no_birthing_hospital_30min_pct,8.7,percent,2022,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,vs 9.7% US
rural_over_30min_to_birthing_hospital_pct,100.0,percent,2022,South Carolina rural,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,vs 8.5% urban
avg_distance_to_birthing_hospital_miles,9.7,miles,2022,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,urban avg; rural avg 25.2 mi
inadequate_pnc_pct_mcd_report,16.7,percent,2021,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,vs 14.8% US
chronic_health_burden_pct,44.5,percent,2021,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,"1+ chronic condition, vs 37.8% US"
chronic_condition_preterm_relative_risk_increase_pct,54.0,percent,2021,South Carolina,March of Dimes Maternity Care Deserts Report,https://www.marchofdimes.org/peristats/assets/s3/reports/mcd/Maternity-Care-Report-SouthCarolina.pdf,Increased PTB likelihood with 1+ chronic condition
ob_units_closed_since_2011,11,count,2020,South Carolina,SC Birth Outcomes Initiative Annual Report,https://schealthviz.sc.edu/media/SCBOI_annual_IFS_011222.pdf,Only 4 new units opened in same period
birthing_hospitals_2011,47,count,2011,South Carolina,SC Birth Outcomes Initiative Annual Report,https://schealthviz.sc.edu/media/SCBOI_annual_IFS_011222.pdf,Start of SCBOI
birthing_hospitals_2020,38,count,2020,South Carolina,SC Birth Outcomes Initiative Annual Report,https://schealthviz.sc.edu/media/SCBOI_annual_IFS_011222.pdf,9-hospital net decline in 9 years
labor_delivery_units_closed_since_2012,13,count,2024,South Carolina,USC IMPH MCH Data Snapshot,https://www.schealthviz.sc.edu/media/downloads/SC%20IMPH%20Health%20Policy%20Summit%20-%20MCH%20Data%20Snapshot.pdf,1 in 4 hospitals no longer a birthing facility
rural_hospitals_lost_ob_pct_2010_2022,46.2,percent,2022,South Carolina,Fierce Healthcare / peer-reviewed OB closures study,https://www.fiercehealthcare.com/providers/most-states-saw-hospital-obstetric-service-shutdowns-2010-2022-rural-states-hit-hardest,Tied with PA for among worst in US
roper_st_francis_mt_pleasant_ob_closed,December 2020,event,2020,Charleston County (Mount Pleasant),SC Birth Outcomes Initiative Annual Report,https://schealthviz.sc.edu/media/SCBOI_annual_IFS_011222.pdf,OB closure within Charleston metro area
georgetown_memorial_ob_closed,September 2020,event,2020,Georgetown County,SC Birth Outcomes Initiative Annual Report,https://schealthviz.sc.edu/media/SCBOI_annual_IFS_011222.pdf,Adjacent Lowcountry county
laurens_county_ob_closed,May 2023,event,2023,Laurens County,Post and Courier / Prisma Health,https://www.postandcourier.com/news/rural-hospitals-maternity-care-sc/article_a03a1884-d8eb-11ef-88cd-079658524226.html,Staffing shortage; patients now travel ~1hr to Greenville
kershaw_medical_center_ob_closed,January 2025,event,2025,Kershaw County,Post and Courier / MUSC,https://www.postandcourier.com/news/rural-hospitals-maternity-care-sc/article_a03a1884-d8eb-11ef-88cd-079658524226.html,"MUSC redirecting to MUSC Northeast, 35 min away"
high_need_mvi_tertile_counties,"Abbeville, Allendale, Barnwell, Greenwood, Laurens, Lee, McCormick, Williamsburg",list,2024,South Carolina,USC Institute for Families in Society MCH Data Snapshot,https://www.schealthviz.sc.edu/media/downloads/SC%20IMPH%20Health%20Policy%20Summit%20-%20MCH%20Data%20Snapshot.pdf,Lowest tertile = highest need
sc_maternal_vulnerability_index_rank,Top 5 nationally,rank,2024,South Carolina,USC IMPH MCH Data Snapshot / Surgo Maternal Vulnerability Index,https://www.schealthviz.sc.edu/media/downloads/SC%20IMPH%20Health%20Policy%20Summit%20-%20MCH%20Data%20Snapshot.pdf,Driven by high physical health and SES needs
nas_rate_sc_2017_2019,5.1,rate_per_1000,2017-2019,South Carolina,HRSA Title V Information System (TVIS),https://mchb.tvisdata.hrsa.gov/Narratives/ExecutiveSummary/a933ee78-b3e1-42ff-bda0-09cba7e29967,Up 21.4% from 4.2 in 2014-2016
nas_rate_sc_2014_2016,4.2,rate_per_1000,2014-2016,South Carolina,HRSA Title V Information System (TVIS),https://mchb.tvisdata.hrsa.gov/Narratives/ExecutiveSummary/a933ee78-b3e1-42ff-bda0-09cba7e29967,Baseline period
nas_rate_medicaid_2019,8.2,rate_per_1000,2019,South Carolina,HRSA Title V Information System (TVIS),https://mchb.tvisdata.hrsa.gov/Narratives/ExecutiveSummary/a933ee78-b3e1-42ff-bda0-09cba7e29967,5.5x the private-insurance rate
nas_rate_private_insurance_2019,1.5,rate_per_1000,2019,South Carolina,HRSA Title V Information System (TVIS),https://mchb.tvisdata.hrsa.gov/Narratives/ExecutiveSummary/a933ee78-b3e1-42ff-bda0-09cba7e29967,Comparator
nas_rate_horry_county,8.0,rate_per_1000,3-yr trailing,Horry County,Pediatrix/MEDNAX news report,https://www.pediatrix.com/about/for-media/news/south-carolinas-horry-county-leads-state-in-number-of-drug-dependent-babies,Highest in SC for 3 consecutive years
nas_rate_greenville_2000_2014,8.22,rate_per_1000,2000-2014,Greenville County,MAiN model study (ScienceDirect),https://www.sciencedirect.com/science/article/abs/pii/S221307641930274X,2nd highest incidence in SC in period studied
nas_region_us_rank,3,rank,2018,South Atlantic region (incl. SC),MAiN model study (ScienceDirect),https://www.sciencedirect.com/science/article/abs/pii/S221307641930274X,3rd highest NAS rate of US Census regions
breastfeeding_ever_pct_sc,80.6,percent,2022,South Carolina,CDC Breastfeeding Report Card 2022,https://restoredcdc.org/www.cdc.gov/breastfeeding-data/breastfeeding-report-card/index.html,"Ever breastfed, last CDC report card published"
breastfeeding_any_6mo_pct_sc,46.6,percent,2022,South Carolina,CDC Breastfeeding Report Card 2022,https://restoredcdc.org/www.cdc.gov/breastfeeding-data/breastfeeding-report-card/index.html,Any breastfeeding at 6 months
breastfeeding_exclusive_6mo_pct_sc,26.0,percent,2022,South Carolina,CDC Breastfeeding Report Card 2022,https://restoredcdc.org/www.cdc.gov/breastfeeding-data/breastfeeding-report-card/index.html,Exclusive breastfeeding at 6 months
wic_breastfeeding_rate_sc_2024,30.0,percent,2024,South Carolina (WIC),SC DPH WIC Breastfeeding Rates Fact Sheet,https://dph.sc.gov/sites/scdph/files/Library/00112-ENG-CR.pdf,"Highest recorded in recent years, Aug 2024"
wic_breastfeeding_rate_black_infants,23.6,percent,2024,South Carolina (WIC),SC DPH WIC Breastfeeding Rates Fact Sheet,https://dph.sc.gov/sites/scdph/files/Library/00112-ENG-CR.pdf,Lowest of racial groups in WIC program
wic_breastfeeding_rate_asian_infants,42.6,percent,2024,South Carolina (WIC),SC DPH WIC Breastfeeding Rates Fact Sheet,https://dph.sc.gov/sites/scdph/files/Library/00112-ENG-CR.pdf,Highest of racial groups in WIC program
doula_medicaid_pilot_start,September 2024,event,2024,South Carolina,SC Healthy Connections Medicaid / Black Health SC,https://www.blackhealth.org/medicaid/south-carolina/,24-month pilot under H.3592 (2023); Upstate/Midlands/Lowcountry regions
doula_medicaid_pilot_reimbursement_per_package,1000,dollars,2024,South Carolina,SC Healthy Connections Medicaid / Black Health SC,https://www.blackhealth.org/medicaid/south-carolina/,"Up to $1,000 per full perinatal package"
doula_mandate_effective_date,"January 1, 2026",event,2026,South Carolina,SC Bill 3108 / Bill 42 (2025-2026 session),https://www.scstatehouse.gov/sess126_2025-2026/bills/3108.htm,Mandatory Medicaid + private insurance coverage
doula_mandate_minimum_reimbursement,850,dollars,2026,South Carolina,SC Bill 3108 (2025-2026 session),https://www.scstatehouse.gov/sess126_2025-2026/bills/3108.htm,"Minimum reimbursement per pregnancy, antepartum through 12mo postpartum"
cradle_rct_ptb_group_care_pct,10.4,percent,2016-2021,"South Carolina (CRADLE RCT, Upstate)","CRADLE Trial (Clemson Univ./Prisma Health), PMC9729420",https://pmc.ncbi.nlm.nih.gov/articles/PMC9729420/,n=1176; NOT significantly different from individual care
cradle_rct_ptb_individual_care_pct,8.7,percent,2016-2021,"South Carolina (CRADLE RCT, Upstate)","CRADLE Trial (Clemson Univ./Prisma Health), PMC9729420",https://pmc.ncbi.nlm.nih.gov/articles/PMC9729420/,"n=1174; OR 1.22, 95% CI 0.92-1.63, p=0.17"
cradle_rct_lbw_black_high_attendance_pct,8.3,percent,2016-2021,"South Carolina (CRADLE RCT, Upstate)","CRADLE Trial, PMC9729420",https://pmc.ncbi.nlm.nih.gov/articles/PMC9729420/,Per-compliance analysis; benefit only at high attendance
picklesimer_2012_ptb_group_pct,9.8,percent,2009-2010,Greenville County (retrospective cohort),"Picklesimer et al. 2012, AJOG",https://www.ajog.org/article/S0002-9378(12)00131-7/fulltext,33% relative reduction vs traditional care (14.8%)
picklesimer_2012_ptb_traditional_pct,14.8,percent,2009-2010,Greenville County (retrospective cohort),"Picklesimer et al. 2012, AJOG",https://www.ajog.org/article/S0002-9378(12)00131-7/fulltext,"Comparator, Medicaid-covered patients"
gareau_2016_ptb_relative_risk_reduction_pct,36.0,percent,2010-2014,South Carolina (5-yr Medicaid cohort),"Gareau et al. 2016, Matern Child Health J / Centering Healthcare Institute",https://centeringhealthcare.org/news/new-study-finds-medicaid-savings-and-better-outcomes-through-centeringpregnancy,"$22,667 average savings per prevented preterm birth"
robinson_2018_ptb_risk_ratio,0.38,risk_ratio,2009-2014,South Carolina (single institution cohort),"Robinson et al. 2018, J Womens Health",https://doi.org/10.1089/jwh.2018.7469,95% CI 0.31-0.47; largest effect among NH White mothers
